pr_number,title,author,merged_at,commits,comments,copilot_comments,copilot_commits
2259,[yobx/torch] Fix AtenCumprod evaluation case for default exporter,Copilot,2026-05-28T19:42:30Z,4,6,2,4
2267,Remove CI job durations documentation page,Copilot,2026-05-28T19:21:16Z,2,1,0,2
2265,"Remove ""Weekly Progress Since the Start"" docs page",Copilot,2026-05-27T22:53:11Z,2,1,0,2
2261,[yobx/torch] Enable dynamic-shape default export for InplaceSetItemExp,Copilot,2026-05-27T22:26:57Z,2,2,0,2
2263,Track style/docs/typing workflows on the CI Durations page,Copilot,2026-05-27T22:26:12Z,2,1,0,2
2257,Update documentation links to xadupre.github.io,Copilot,2026-05-27T13:05:50Z,2,1,0,2
2247,[yobx/torch] Add tiny GraniteMoeHybrid model and pin current `to_onnx` failure,Copilot,2026-05-27T11:05:38Z,6,8,3,5
2253,[yobx/torch] Add aten_cumprod converter and eval case,Copilot,2026-05-27T09:20:46Z,3,6,2,3
2255,"CI: drop transformers 4.55, 5.2, 5.5 from CI matrix",Copilot,2026-05-27T09:16:51Z,2,2,0,2
2249,[yobx/torch] Lower x.max/x.min/x.topk to a single TopK in the tracing path,Copilot,2026-05-27T08:44:31Z,2,4,1,2
2243,[yobx/torch] Fix avg_pool ceil_mode + count_include_pad divergence at opset < 19,Copilot,2026-05-27T08:43:52Z,2,2,0,2
2235,Fix `validate --config-override` and text-only model selection for multimodal configs,Copilot,2026-05-27T08:14:05Z,6,10,4,5
2251,[yobx/reference] Add Resize_18 kernel (with antialias) to TorchReferenceEvaluator,Copilot,2026-05-27T08:12:07Z,2,2,0,2
2241,Support QuantizeLinear/DequantizeLinear emitted via torch.onnx.ops.symbolic,Copilot,2026-05-27T08:09:02Z,2,2,0,2
2245,"[yobx/torch] Add aten._upsample_{bilinear,bicubic}2d_aa converters",Copilot,2026-05-27T07:16:48Z,2,2,0,2
2237,Add Python-API unit test mirroring `yobx validate` CLI invocation,Copilot,2026-05-27T06:34:53Z,4,5,2,4
2239,[yobx/torch] Use `dtype` kwarg with transformers,Copilot,2026-05-27T06:21:53Z,4,6,2,4
2233,Bump transformers 5.8.1 → 5.9.0 in CI,Copilot,2026-05-26T20:25:08Z,3,3,1,3
2207,"Add `torch.istft` export support across DEFAULT, TRACING, and NEW_TRACING paths",Copilot,2026-05-26T18:56:44Z,3,4,1,3
2230,[yobx/torch] Fixes,xadupre,2026-05-22T16:40:52Z,5,2,0,0
2229,[yobx/sql] Accept numpy string dtypes in `yobx.sql.to_onnx`,Copilot,2026-05-22T13:50:22Z,2,2,0,2
2227,[yobx/helpers] Fix `patches_involved_in_graph` crash on nodes from yobx user code,Copilot,2026-05-22T13:12:35Z,3,4,1,3
2217,"Add SQL conversion how-to with explicit Polars, JOIN, WHERE, and GROUP BY coverage",Copilot,2026-05-22T08:52:48Z,7,13,6,7
2223,"Add Torch conversion how-to covering FX capture modes, official exporter routing, and export report stats",Copilot,2026-05-22T08:52:59Z,7,19,9,7
2225,[yobx/torch] Add how-to page on patches for PyTorch export,Copilot,2026-05-22T08:29:49Z,4,6,2,4
2221,Add JAX model conversion How-To page and wire it into docs navigation,Copilot,2026-05-22T07:43:40Z,3,3,1,3
2215,Add how-to page for shape inference,Copilot,2026-05-21T22:49:34Z,4,5,2,4
2219,Add TensorFlow/Keras conversion how-to page,Copilot,2026-05-21T22:08:59Z,2,1,0,2
2213,docs: add how-to page for optimizing an existing ONNX model,Copilot,2026-05-21T18:05:26Z,7,11,5,7
2209,Suppress `toc.excluded` warnings for docs builds with intentionally excluded pages,Copilot,2026-05-21T14:53:40Z,2,1,0,2
